#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Private,Description
52127,openSUSE Leap 15.2,action,"",Resolved,Normal,prepare package translations,lnussel,"",16/07/2019 11:33 am,Translations,Alpha,24/10/2019,28/10/2019,"",0.00,0,27/05/2019 11:58 am,16/07/2019 11:33 am,Copied from #43115,No,Adjust https://github.com/openSUSE/packages-i18n/blob/master/50-tools/urls_opensuse.txt to include the new release. Run the extractor and push.
52124,openSUSE Leap 15.2,action,"",Closed,Normal,enable legaldb scan,lnussel,"",02/09/2019 12:23 pm,Release Engineering,Alpha,02/06/2019,25/06/2019,"",0.00,0,27/05/2019 11:58 am,18/07/2019 09:29 pm,Copied from #42839,No,"legaldb needs to scan the newly created project. Since it was copied legaldb didn't see requests so doesn't know about the packages in it.

It's configured on botmaster as /srv/go-config/legal-auto-projects-opensuse"
52121,openSUSE Leap 15.2,action,"",Closed,Normal,copy images subproject,lnussel,"",02/09/2019 12:51 pm,Release Engineering,Alpha,17/06/2019,19/07/2019,"",0.00,0,27/05/2019 11:58 am,15/07/2019 03:50 pm,Copied from #40571,No,create the :Images and :Images:ToTest subprojects
52118,openSUSE Leap 15.2,action,"",Closed,Normal,enable CI for YaST,lnussel,"",27/08/2019 02:32 pm,Release Engineering,Alpha,01/07/2019,14/08/2019,"",0.00,100,27/05/2019 11:58 am,27/08/2019 12:14 pm,Copied from #40439,No,"the CI for YaST needs to be configured to submit packages for the new release from the right branch

* yast2-alternatives
* yast2-slp-server
* yast2-docker
* skelcd-control-openSUSE"
52115,openSUSE Leap 15.2,action,"",New,Normal,add openqa upgrade tests to/from 15.1,lnussel,mgriessmeier,16/12/2019 12:59 pm,QA,Alpha,19/08/2019,30/09/2019,"",0.00,0,27/05/2019 11:58 am,"",Copied from #39653,No,upgrade tests need to include 15.1
52112,openSUSE Leap 15.2,action,"",Closed,Normal,create external sources list,lnussel,"",09/08/2019 12:18 pm,Release Engineering,Alpha,12/08/2019,23/08/2019,"",0.00,100,27/05/2019 11:58 am,09/08/2019 12:18 pm,Copied from #39365,No,"http://download.opensuse.org/YaST/Repos/openSUSE_Leap_15.1_Servers.xml (defined in https://github.com/yast/skelcd-control-openSUSE/blob/openSUSE-15_1/control/control.openSUSE.xml)

https://github.com/openSUSE/download.o.o

download.o.o pulls automatically every few hours"
52109,openSUSE Leap 15.2,action,"",Closed,Normal,create schedule,lnussel,"",07/08/2019 01:50 pm,Release Engineering,Alpha,07/06/2019,10/06/2019,"",0.00,0,27/05/2019 11:58 am,07/08/2019 01:50 pm,"Blocks #52091, Copied from #37237",No,create a release shedule. Update https://en.opensuse.org/openSUSE:Roadmap
52106,openSUSE Leap 15.2,action,"",Closed,Normal,set up bugzilla queries,lnussel,lnussel,16/08/2019 06:09 am,Release Engineering,Alpha,28/05/2019,09/08/2019,"",0.00,100,27/05/2019 11:58 am,16/08/2019 06:09 am,Copied from #37231,No,"set up bugzilla queries for the new release

* all open bugs
* bugs with priority p2 and higher
* not triaged bugs (P5)
* ship stopper candidates (Custom Search->Flags->is equal to->SHIP_STOPPER?)
* ship stopper candidates (Custom Search->Flags->is equal to->SHIP_STOPPER+)

save search with a name and share them"
52103,openSUSE Leap 15.2,action,"",Closed,Normal,submit missing SLE packages,lnussel,"",11/11/2019 01:48 pm,Release Engineering,Alpha,25/07/2019,26/08/2019,"",0.00,100,27/05/2019 11:58 am,11/11/2019 01:48 pm,Copied from #37228,No,submit packages from SUSE:SLE-15-SP2:GA to Leap
52100,openSUSE Leap 15.2,action,"",Closed,Normal,verify staging UEFI certificate,lnussel,"",07/08/2019 08:50 am,Release Engineering,Alpha,20/06/2019,24/06/2019,"",0.00,0,27/05/2019 11:58 am,07/08/2019 08:50 am,Copied from #37207,No,"The UEFI certificate in staging and rings needs to be equal. If there's something wrong, like openQA not booting verify by checking /etc/uefi/certs in the shim package in Leap vs Factory. Use openssl to dump the certificates:

    openssl x509 -noout -text -nameopt multiline,utf8,-esc_msb -inform DER -in $file "
52097,openSUSE Leap 15.2,action,"",Closed,Normal,ask for kernel submission,lnussel,mlin7442,27/08/2019 12:14 pm,Release Engineering,Alpha,23/09/2019,30/09/2019,"",0.00,100,27/05/2019 11:58 am,27/08/2019 12:14 pm,Copied from #37195,No,ask the kernel submission to prepare a Leap variant based on the SLE kernel
52094,openSUSE Leap 15.2,action,"",Closed,Normal,enable bots/tools,lnussel,lnussel,18/09/2019 11:15 am,Release Engineering,Alpha,03/06/2019,21/08/2020,"",0.00,100,27/05/2019 11:58 am,18/09/2019 11:15 am,Copied from #37192,No,"enable bots and tools

* totest manager
* origin-manager (jimmy)
* snapshot announcer (make sure to fix links in the template)
* manager_42 (probably obsoleted by origin-manager -> jimmy)
* update_crawler (may also be replaced by origin-manager)
* build fail reminder
* staging bot (jimmy)
* openqa commments (has a different name now, ask jimmy)
* duplicate binaries
* support package rebuild
* package list generator

Add the new release to

* trigger rebuilds"
52091,openSUSE Leap 15.2,action,"",Closed,Normal,upload schedule internally,lnussel,lnussel,29/08/2019 07:38 am,Release Engineering,Alpha,09/08/2019,30/08/2019,"",0.00,100,27/05/2019 11:58 am,29/08/2019 07:38 am,"Blocked by #52109, Copied from #37189",No,"upload schedule to projects.suse.de

https://gitlab.suse.de/OPS-Service/projects.nue.suse.com"
52088,openSUSE Leap 15.2,action,"",New,Normal,Setup 15.2 release notes,lnussel,"",25/11/2019 09:56 am,Documentation,Alpha,13/06/2019,30/09/2019,0.00,0.00,80,27/05/2019 11:58 am,"",Copied from #37186,No,"A branch for new distribution needs to be created in the release notes git and the package adjusted accordingly.

The tokens for OBS are in the factory-maintainer user. Botmaster has all accounts:
sudo docker exec -ti go-agent-repo-checker-3 sudo -i -u go

Instructions how to set up webhooks:
https://openbuildservice.org/help/manuals/obs-user-guide/cha.obs.source_service.html#sec.obs.sserv.github.com"
52085,openSUSE Leap 15.2,action,"",Closed,Normal,create basic wiki structure for new release,lnussel,AdaLovelace,14/08/2019 10:28 am,Documentation,Alpha,06/06/2019,31/08/2019,"",0.00,100,27/05/2019 11:58 am,14/08/2019 10:28 am,Copied from #37183,No,"Create the portal page https://en.opensuse.org/Portal:15.2 and template pages for pages that are expected to change. Eg. Screenshots_15.2

Update development related pages with information about the new release

* https://en.opensuse.org/openSUSE:Submitting_bug_reports
* https://en.opensuse.org/openSUSE:Packaging_for_Leap
* https://en.opensuse.org/Portal:Leap"
52082,openSUSE Leap 15.2,action,"",New,Normal,submit new Factory packages to Leap,lnussel,mlin7442,07/02/2020 09:42 am,Release Engineering,Alpha,15/07/2019,19/02/2020,"",0.00,0,27/05/2019 11:58 am,"",Copied from #37180,No,"for all packages that were added to Factory after the last leap release, set up https://build.opensuse.org/project/show/openSUSE:42:Factory-Candidates-Check to check build success and activate the https://github.com/openSUSE/osc-plugin-factory/blob/master/fcc_submitter.py

Make sure to talk to Bernhard to turn off the bug bot to avoid spamming bugzilla."
52079,openSUSE Leap 15.2,action,"",Resolved,Normal,prepare software.opensuse.org,lnussel,lkocman,29/01/2020 03:17 pm,Infrastructure,Alpha,13/01/2020,17/01/2020,"",0.00,0,27/05/2019 11:58 am,29/01/2020 03:17 pm,Copied from #37177,No,"prepare software.opensuse.org to show the testing distribution

https://github.com/openSUSE/software-o-o"
52076,openSUSE Leap 15.2,action,"",Resolved,Normal,verify betaversion in product files,lnussel,"",15/07/2019 03:55 pm,Release Engineering,Alpha,29/05/2019,07/06/2019,"",0.00,0,27/05/2019 11:58 am,15/07/2019 03:55 pm,Copied from #37174,No,"*.product need to refer to the correct snapshot name in the <betaversion> tag

Changes there will trigger rebuild so has to be done in advance"
52073,openSUSE Leap 15.2,action,"",Closed,Normal,make sure test updates are in the patterns,lnussel,"",18/09/2019 11:40 am,Release Engineering,Alpha,10/06/2019,31/08/2019,"",0.00,100,27/05/2019 11:58 am,18/09/2019 11:40 am,Copied from #37171,No,the default patterns should include the update test packages so test updates actually get installed. This is triggered by betatest macro in prjconf. So after a first initial full rebuild verify that the default pattern pulls in the update-test pattern.
52070,openSUSE Leap 15.2,action,"",Closed,Normal,create test plan for manual testing,lnussel,lkocman,19/08/2019 09:53 am,QA,Alpha,07/08/2019,07/08/2019,"",0.00,100,27/05/2019 11:58 am,19/08/2019 09:53 am,Copied from #37168,No,"create a test plan for people to manually test the distribution

New Plan for Leap 15.2:
https://docs.google.com/spreadsheets/d/1AGKijKpKiJCB616-bHVoNQuhWHpQLHPWCb3m1p6gXPc/edit#gid=94909276"
52067,openSUSE Leap 15.2,action,"",Closed,Normal,enable sle15 syncing to OBS,lnussel,"",19/08/2019 08:46 am,Release Engineering,Alpha,27/06/2019,10/07/2019,"",0.00,100,27/05/2019 11:58 am,19/08/2019 08:46 am,Copied from #37165,No,tell SLE release engineers to sync SLE15 to OBS
52064,openSUSE Leap 15.2,action,"",Resolved,Normal,adjust lookup file,lnussel,"",09/08/2019 09:07 am,Release Engineering,Alpha,03/06/2019,07/06/2019,"",0.00,0,27/05/2019 11:58 am,15/07/2019 03:59 pm,Copied from #37162,No,"00Meta/lookup.yml needs to be adjusted.
All references to Factory, 15.0, FORK or Devel; need point to 15.1"
52061,openSUSE Leap 15.2,action,"",Resolved,Normal,release maintenance test updates,lnussel,mschnitzer,01/10/2019 05:28 am,Maintenance,Alpha,13/06/2019,16/08/2019,"",0.00,100,27/05/2019 11:58 am,16/09/2019 10:19 am,"Blocked by #52058, Copied from #37159",No,maintenance needs to release test updates in the update channel
52058,openSUSE Leap 15.2,action,"",Resolved,Normal,create update channel,lnussel,lkocman,12/09/2019 12:34 pm,Maintenance,Alpha,07/06/2019,07/08/2019,"",0.00,20,27/05/2019 11:58 am,12/09/2019 12:34 pm,"Blocks #52061, Copied from #37156",No,"In contrast to the main project (#52034) the update projects are meant to start empty. So we create them manually

* The update projects (don't forget :NonFree) need to be created, including attributes (excl OBS:Maintained which will be added later).
* add the new projects to openSUSE:Maintenance meta
* The obs backend mapping file needs to be adjusted to to sync the repos to the correct place on download.opensuse.org"
52055,openSUSE Leap 15.2,action,"",Closed,Normal,publishing and mirror setup,lnussel,lnussel,14/08/2019 10:23 am,Release Engineering,Alpha,10/06/2019,09/08/2019,"",0.00,100,27/05/2019 11:58 am,14/08/2019 10:23 am,Copied from #37147,No,"Set up OBS and Mirror system to handle the new distribution

The ISOs and ftp tree needs to be set to be publish=enabled in OBS. If TTM is not set up yet, enable publishing from :ToTest manually:

     <enable arch=""local"" repository=""images""/>

There is a script somewhere on the obs backend that determines what gets pushed where. Adrian or Coolo know. It needs to be adjusted to handle the new distribution.

On pontifex /etc/rsyncd-internal.conf needs to have modules to allow obs to push to the right locations.
The publish_distro config needs to be adjusted too https://github.com/openSUSE/publish_distro

Checklist:

* BSConfig.pm
* publish script on obs backend
* rsync module on pontifex
* publish_distro on pontifex
* /etc/xinetd.d/scan-updates on pontifex
* enable publishing in project meta 
* notify ports maintainers so they do the same
* write mirror@opensuse.org that a new distro is coming"
52052,openSUSE Leap 15.2,action,"",Closed,Normal,update all packages that hardcode the distribution version,lnussel,"",27/08/2019 12:11 pm,Release Engineering,Alpha,29/05/2019,14/08/2019,"",0.00,100,27/05/2019 11:58 am,27/08/2019 12:11 pm,Copied from #37144,No,"All packages that hardcode the distribution version somehow need to be updated with the current version number

* openSUSE.product.in and openSUSE-Addon-NonOss.product.in in 000package-groups
* skelcd-control-openSUSE
* build
* branding-openSUSE
* kiwi-boot-descriptions
* MozillaFirefox-branding-openSUSE

if needed add local hacks. getting the fix into the build package for example usually takes a way too long time for us. track any local hacks here and don't close ticket before done. Otherwise we may forget them.


Problably only for major versions:

* installation-images"
52049,openSUSE Leap 15.2,action,"",Resolved,Normal,enable iso syncing to openQA,lnussel,okurz,19/07/2019 09:50 am,QA,Alpha,29/05/2019,24/06/2019,"",0.00,0,27/05/2019 11:58 am,19/07/2019 09:50 am,"Blocked by #52040, Copied from #37141",No,"the rsync.pl script needs to be adjust to sync the isos to openQA

when doing that the directory for changes needs to be created
  # cd /var/lib/snapshot-changes/opensuse/
  # mkdir 15.1
  # chown factory-news 15.1
  # setfacl -m u:geekotest:rwx 15.1

run rsync.pl and make sure an entry is created in snapshot-changes. Then symlink the current build:
  # sudo -u geekotest ln -s $BUILDNR current

edit /etc/apache2/conf.d/factory-package-news.conf for the new release"
52046,openSUSE Leap 15.2,action,"",Closed,Normal,Add new version in Bugzilla,lnussel,"",27/05/2019 12:14 pm,Release Engineering,Alpha,23/05/2019,10/06/2019,"",0.00,100,27/05/2019 11:58 am,27/05/2019 12:14 pm,Copied from #37132,No,https://et.innerweb.novell.com/project_pages/prod_bugz_edit_vrsms.jsp?bcid=1&lid=0&pid=53824
52040,openSUSE Leap 15.2,action,"",Resolved,Normal,setup openQA,lnussel,okurz,18/07/2019 02:40 pm,QA,Alpha,28/05/2019,24/06/2019,"",0.00,0,27/05/2019 11:57 am,18/07/2019 02:40 pm,"Blocks #52049, Copied from #37105",No,"update job group for new release: https://openqa.opensuse.org/parent_group_overview/3

adjust description and link of the parent group if needed


Dump the templates of the previous distribution, change version and import again. E.g.

script/dump_templates --host https://openqa.opensuse.org --group ""openSUSE Leap 42.3"" --full > leap

Same with staging projects. Afterwards review and adjust accordingly

Add BETA=1
The staging group may need to be renamed an re-created in order to preserve old results and allow for build numbers to repeat


add upgrade tests from previous release"
52037,openSUSE Leap 15.2,action,"",Resolved,Normal,bootstrap,lnussel,mlin7442,22/08/2019 03:07 pm,Release Engineering,Alpha,28/05/2019,24/06/2019,"",0.00,100,27/05/2019 11:57 am,30/07/2019 11:10 am,Copied from #36790,No,"* build ring0 against ring0 of the previous release
* when ring0 is built remove the bootstrap aid
* bootstrap ring1
* let the whole project build (later)
* undo any bootstrap changes, such as brp-extract-translations"
52034,openSUSE Leap 15.2,action,"",Resolved,Normal,copy sources of previous release,lnussel,lkocman,20/07/2019 12:22 pm,Release Engineering,Alpha,27/05/2019,10/06/2019,"",0.00,20,27/05/2019 11:57 am,15/07/2019 03:36 pm,"Blocks #50465, Copied from #36787",No,"First, ask an obs admin to prepare the ""partitioning"" setup of OBS for the new release. That makes sure rings and stagings end up on the correct backend.
Also ask for dispatchprios to be adjusted.

When done copy old project to new one with full history:

	$ osc api /source/openSUSE:Leap:15.2?cmd=copy\&oproject=openSUSE:Leap:15.1\&withhistory=1\&comment=branch+from+15.1 -X POST

Adjust prj meta, add reviews etc (check previous release)

        $ osc meta prj -e openSUSE:Leap:15.2

Then copy the rest:

	$ for i in \
		NonFree \
		Rings \
		Rings:0-Bootstrap \
		Rings:1-MinimalX \
		Staging Staging:A \
		Staging:A:DVD; do \
		echo $i; \
		osc api /source/openSUSE:Leap:15.2:$i?cmd=copy\&oproject=openSUSE:Leap:15.1:$i\&withhistory=1\&comment=branch+from+15.1 -X POST; \
		done

Ask an obs admin to copy the signkey for the staging projects from the previous release

To adjust link files osc co -u the project, then

	sed -i -e 's/openSUSE:Leap:15.1/openSUSE:Leap:15.2/' */_link

Fix non oss release file:

        osc api /source/openSUSE:Leap:15.2:NonFree/000release-packages/_aggregate -e

* make sure prjconf contains _with_betatest macros
* don't forget _service in _project

Fix rpmlint-AGGR in ring0

        osc api /source/openSUSE:Leap:15.2:Rings:0-Bootstrap/rpmlint-mini-AGGR/_aggregate -e


"
51221,openSUSE Leap 15.2,action,"",Resolved,Normal,upgrade windows 10 image in openQA,lnussel,lkocman,21/10/2019 08:35 am,QA,Alpha,27/05/2019,07/08/2019,"",0.00,0,07/05/2019 08:29 am,21/10/2019 06:44 am,"Related to #56927, Related to #56840",No,"get QA to upgrade the Windows 10 image in openQA, it's based on a very old version meanwhile and doesn't reflect reality anymore."
50960,openSUSE Leap 15.2,action,"",Closed,Normal,*update AppStream,lnussel,"",14/08/2019 10:29 am,Release Engineering,Alpha,24/06/2019,16/08/2019,"",0.00,100,30/04/2019 02:34 pm,14/08/2019 10:29 am,"",No,"AppStream had to be forked in 15.1 for ARM. it's not useful for anything in SLE. sync it up again in SP2 for the sake of it

https://bugzilla.opensuse.org/show_bug.cgi?id=1125898"
50465,openSUSE Leap 15.2,action,"",In Progress,Normal,rename product from openSUSE to Leap,lnussel,lkocman,14/01/2020 01:22 pm,Release Engineering,Alpha,01/07/2019,30/11/2019,"",0.00,10,16/04/2019 02:24 pm,"",Blocked by #52034,No,"The CPE id of Leap should be ""cpe:/o:opensuse:leap:15.2"" as reported by /etc/os-release

os-release is currently hacked manually. The real change needs to be in 000package-groups/openSUSE.product.in. It needs to be it needs to be renamed to Leap.product.in:

        <vendor>openSUSE</vendor>
        <name>Leap</name>
        <version>15.2</version>

That has various implications like openSUSE-release.spec renaming to Leap-release.spec with currently unknown consequences to how eg zypp behaves.

The non-oss product also needs to be adopted


TODO list from etherpad so we don't lose it: https://etherpad.nue.suse.com/p/leap_product_rename
openSUSE.product produces a product called ""openSUSE"" from vendor ""openSUSE"". What we actually have are products called ""Leap"" and Tumbleweed"" from vendor ""openSUSE"" though. In order to properly support SCC registration the information OBS has needs to be consistent. Therefore it's desirable to rename the product from openSUSE to Leap.

openSUSE.product.in -> Leap.product.in
openSUSE-release.spec.in -> Leap-release.spec.in

Issues:
    - Quite some packages require openSUSE-release. So there is a compat package that just requires Leap-release.
    - installation-images pulls in openSUSE-release and then fails to resolve deps as the flavor package is missing. So far the flavors were build ignored via prjconf. installation-images also had an extra config to ignore an unresolvable openSUSE-release package. To avoid patching installation-images we just pull in the mini flavor:
        Prefer: Leap-release:Leap-release-mini
     - pkglistgen updating relpkgs will parsing *.product in 000product, but due to the issues below 000product don't have the proper data. Result: old openSUSE release flavor spec file were added back
     - first step of pkglistgen pipe(repochecker) failed due to openSUSE-release package is duplicated. Workaround: installcheck-ignore-duplicated-binaries = openSUSE-release
     - pkglistgen fails in progress due to openSUSE.product.in was renamed however it's required by pkglistgen-locales-from
     - change pkglistgen-locales-from will breaks other stagings and main product build
     - solution: languages list moved to pkglistgen-locale attribute and leave pkglistgen-locales-from empty, thus pkglistgen fetch languages list from an attribute instead of a file
     - remember to update pkglistgen-delete-kiwis-rings and pkglistgen-delete-kiwis-staging otherwise unneeded kiwi file were there
     - update product name in the OSRT:ToTestMnagerConfig - otherwise ttm won't release snapshot to ToTest
     - repository loction needs to update in rsync_opensuse
     - the obs dashboard hardcodes the dvd name so needs to be adjusted src/api/app/models/obs_factory/distribution_strategy_*
     - rsync.pl needs to sync the new product name Leap-dvd5 instead of openSUSE-dvd5
     - NonFree/000release-packages/_aggregate needs to get the right release package
     - rsync.pl for the main repo also needs to sync correct names. The non-oss ftp tree had an inconsistent name though.
     - upgrade tests fail as the openSUSE product vanished and gets replaced by the Leap product. YaST doesnt like that and displays summary in red. https://openqa.opensuse.org/tests/1062080#step/disable_grub_timeout/2
       - needed to add Provides: product() = openSUSE
       - weakremovers handling: http://bugzilla.opensuse.org/show_bug.cgi?id=1155819
       - FIXME: flavor package replacement doesnt work?
         https://github.com/openSUSE/obs-service-product_converter/pull/7
       - baseproduct symlink needs to be taken care of
"
56387,openSUSE Leap 15.2,action,"",New,Normal,submit translation packages,lnussel,"",02/09/2019 01:13 pm,Translations,Beta,19/03/2020,20/03/2020,"",0.00,0,02/09/2019 01:13 pm,"",Copied from #49544,No,"Packages that contain translations may need to be updated and submitted

- package-translations : system:install:head
- desktop-translations : X11:common:Factory
- yast2-trans : YaST:Head                    (submit directly to YaST:Head, it does not accept SRs)
- skelcd-openSUSE : system:install:head
- openSUSE-EULAs : devel:openSUSE:Factory

    
    osc rm *.tar.xz
    osc service dr
    osc addremove
    osc vc         # beautify *.changes: 'M-x sort-lines' and 'M-x delete-duplicate-lines'
    osc ci
    osc sr"
56384,openSUSE Leap 15.2,action,"",New,Normal,clean up SLE-workarounds,lnussel,mlin7442,13/01/2020 11:33 am,Release Engineering,Beta,06/03/2020,13/03/2020,"",0.00,0,02/09/2019 01:13 pm,"",Copied from #48896,No,clean up the SLE-workarounds subproject. Check which packages got merged and remove them. Verify the remaining ones are progressing.
56381,openSUSE Leap 15.2,action,"",New,Normal,get rid of repochecker failures,lnussel,mlin7442,13/01/2020 11:33 am,Release Engineering,Beta,06/03/2020,13/03/2020,"",0.00,0,02/09/2019 01:13 pm,"",Copied from #48890,No,"remaining repo checker failures need to be fixed:
https://build.opensuse.org/package/view_file/openSUSE:Leap:15.1:Staging/dashboard/repo_checker

Also, the whitelist should be reviewed if it lists too much"
56378,openSUSE Leap 15.2,action,"",New,Normal,ask community to add repo xml,lnussel,"",02/09/2019 01:13 pm,Infrastructure,Beta,03/02/2020,05/04/2020,"",0.00,0,02/09/2019 01:13 pm,"",Copied from #47507,No,"Make sure the community repo list gets created:
https://opensuse-community.org/openSUSE_Leap_150_Community_Additional.xml

check the old file for names of people who could do it
http://opensuse-community.org/openSUSE_Leap_423_Community_Additional.xml

then update https://github.com/openSUSE/download.o.o and add the link there"
56375,openSUSE Leap 15.2,action,"",New,Normal,verify sle sync,lnussel,lkocman,29/01/2020 03:18 pm,Release Engineering,Beta,20/01/2020,24/01/2020,"",0.00,0,02/09/2019 01:12 pm,"",Copied from #47282,No,"a mix of stuck tools and other breakages usually leads to packages deviating from SLE.
Compare packages in SLE vs Leap and identify differences to sync up again.
Update SLE-workarounds as needed."
56372,openSUSE Leap 15.2,action,"",New,Normal,create 15.2 component in weblate,lnussel,"",03/09/2019 07:18 am,Translations,Beta,30/01/2020,14/02/2020,"",0.00,60,02/09/2019 01:12 pm,"",Copied from #46925,No,a Leap 15.2 component needs to be created in weblate to collect all projects related to translating leap 15.2
56369,openSUSE Leap 15.2,action,"",New,Normal,enable i586 packages that need it,lnussel,mlin7442,13/01/2020 11:34 am,Release Engineering,Beta,17/02/2020,21/02/2020,"",0.00,0,02/09/2019 01:12 pm,"",Copied from #44936,No,"i586 packages with baselibs.conf need to be explicitly enabled by adding them to the whitelist in prjconf.

https://github.com/openSUSE/openSUSE-release-tools/blob/master/biarchtool.py may help with that."
56366,openSUSE Leap 15.2,action,"",In Progress,High,interlock,lnussel,lkocman,30/01/2020 03:01 pm,Release Engineering,Beta,05/11/2019,07/02/2020,"",0.00,50,02/09/2019 01:12 pm,"",Copied from #43448,No,"- prepare interlock lock slides
- send content to individual stakeholders for approval
- ask for date for erf interlock
- present"
56360,openSUSE Leap 15.2,action,"",Resolved,Normal,sync prjconf to build package,lnussel,mlin7442,30/01/2020 10:42 am,Release Engineering,Beta,31/10/2019,30/01/2020,"",0.00,0,02/09/2019 01:11 pm,30/01/2020 10:42 am,Copied from #43232,No,make sure the prjconf of the distr is added to the build package via pull request upstream
56354,openSUSE Leap 15.2,action,"",Resolved,Normal,mirror the release internally,lnussel,lkocman,14/01/2020 03:26 pm,Release Engineering,Beta,10/11/2019,10/11/2019,"",0.00,0,02/09/2019 01:10 pm,14/01/2020 03:26 pm,Copied from #39488,No,there are some developers that like to have the release accessible internally via NFS. Ask Rudi to mirror it.
56351,openSUSE Leap 15.2,action,"",New,Normal,update openSUSE-release package,lnussel,mlin7442,13/01/2020 11:35 am,Release Engineering,Beta,05/02/2020,07/02/2020,"",0.00,0,02/09/2019 01:09 pm,"",Copied from #39485,No,"the openSUSE-release package lists some suggested packages, eg java. That may need updating before the release."
56348,openSUSE Leap 15.2,action,"",New,Normal,run desktop-file translation extractor,lnussel,"",02/09/2019 01:08 pm,Translations,Beta,27/01/2020,30/01/2020,"",0.00,0,02/09/2019 01:08 pm,"","Copied from #39482, Copied to #57056",No,"the extractor of desktop file translations that pushed to github needs to be enabled

on https://github.com/openSUSE/desktop-file-translations

Run
    
    cd 51-xml
    ./download_data.sh download
    ./generate_and_merge_pos.sh download
    git add */*.po */*.pot
    git commit -m update
    git push"
